review_id,product_name,review_text,rating
1,Charger,excellent performance love it,4
2,Lights,comfortable to use,4
3,Headphones,comfortable to use,1
4,Lights,comfortable to use,1
5,Charger,not bad okay,4
6,Headphones,love it,4
7,Lights,not bad reasonable average,4
8,Desk,too expensive,1
9,Lights,love it works great super fast,4
10,Charger,very useful super fast super fast,2
11,Desk,poor quality,3
12,Headphones,not bad decent reasonable,3
13,Lights,bad too expensive too expensive,5
14,Desk,bright and clear amazing product,2
15,Headphones,not working,4
16,Charger,very useful love it,5
17,Charger,works great value for money bright and clear,3
18,Lights,good quality excellent performance value for money,1
19,Desk,value for money bright and clear comfortable to use,4
20,Headphones,poor quality,2
21,Laptop,okay,5
22,Lights,heats up not working,3
23,Desk,comfortable to use amazing product bright and clear,3
24,Desk,works great excellent performance comfortable to use,2
25,Laptop,average reasonable works fine,3
26,Lights,super fast,2
27,Headphones,heats up low quality,3
28,Charger,super fast works great comfortable to use,4
29,Lights,okay average,2
30,Charger,bright and clear,2
31,Charger,works great love it,1
32,Desk,decent,4
33,Charger,good quality,4
34,Lights,works fine,2
35,Laptop,not bad,2
36,Laptop,bright and clear,4
37,Lights,love it amazing product super fast,1
38,Charger,love it,2
39,Charger,value for money value for money excellent performance,2
40,Charger,value for money,2
41,Laptop,love it,2
42,Charger,not working disappointing,4
43,Desk,works great value for money comfortable to use,4
44,Headphones,works great comfortable to use very useful,4
45,Charger,disappointing disappointing,4
46,Charger,stopped working low quality,2
47,Charger,value for money super fast amazing product,2
48,Lights,value for money love it,4
49,Charger,comfortable to use super fast,3
50,Headphones,super fast,2
51,Headphones,reasonable average average,2
52,Charger,not bad,4
53,Lights,value for money,2
54,Laptop,bright and clear value for money works great,3
55,Desk,works fine not bad,2
56,Laptop,works great,1
57,Lights,value for money,2
58,Charger,super fast,2
59,Headphones,average,3
60,Desk,stopped working heats up,2
61,Desk,poor quality not working disappointing,4
62,Charger,value for money,1
63,Laptop,excellent performance works great,1
64,Laptop,bright and clear amazing product works great,3
65,Desk,reasonable average,2
66,Headphones,heats up bad stopped working,5
67,Desk,works fine,4
68,Desk,comfortable to use,2
69,Laptop,not bad reasonable,1
70,Lights,good quality,4
71,Laptop,super fast,4
72,Desk,very useful good quality good quality,2
73,Desk,very useful,1
74,Headphones,excellent performance super fast,1
75,Laptop,very useful very useful,3
76,Lights,excellent performance amazing product works great,1
77,Desk,disappointing disappointing,5
78,Laptop,amazing product,3
79,Charger,okay decent,1
80,Lights,decent okay,5
81,Lights,amazing product comfortable to use comfortable to use,5
82,Headphones,poor quality,3
83,Charger,value for money,2
84,Charger,too expensive,1
85,Desk,average reasonable reasonable,2
86,Headphones,disappointing poor quality disappointing,2
87,Laptop,heats up,1
88,Desk,love it value for money,4
89,Laptop,not bad works fine not bad,1
90,Lights,stopped working heats up bad,1
91,Headphones,too expensive,3
92,Charger,comfortable to use,4
93,Lights,very useful good quality love it,4
94,Headphones,heats up heats up,1
95,Charger,not bad okay,5
96,Laptop,bright and clear works great value for money,2
97,Lights,excellent performance,5
98,Lights,works fine,4
99,Headphones,reasonable reasonable reasonable,1
100,Charger,stopped working,4
101,Laptop,amazing product comfortable to use value for money,5
102,Charger,love it,2
103,Desk,works fine,1
104,Headphones,bad,4
105,Headphones,comfortable to use excellent performance,1
106,Laptop,stopped working,1
107,Headphones,decent,3
108,Desk,works fine,1
109,Headphones,very useful works great very useful,4
110,Lights,not working stopped working not working,3
111,Headphones,average reasonable decent,2
112,Charger,heats up bad not working,2
113,Laptop,comfortable to use excellent performance,3
114,Charger,very useful,3
115,Desk,okay,1
116,Lights,good quality bright and clear,1
117,Laptop,value for money good quality,2
118,Desk,works fine okay,4
119,Laptop,very useful super fast,2
120,Headphones,comfortable to use super fast,3
121,Laptop,reasonable,3
122,Laptop,bad heats up,2
123,Charger,low quality low quality stopped working,3
124,Lights,average,4
125,Lights,good quality,2
126,Desk,value for money excellent performance,5
127,Headphones,super fast good quality,4
128,Desk,very useful love it,1
129,Charger,very useful,3
130,Charger,comfortable to use excellent performance amazing product,3
131,Headphones,very useful comfortable to use super fast,1
132,Charger,excellent performance works great bright and clear,2
133,Lights,excellent performance amazing product works great,5
134,Desk,works fine decent reasonable,4
135,Charger,super fast comfortable to use bright and clear,2
136,Laptop,very useful,1
137,Headphones,works fine decent decent,4
138,Charger,excellent performance value for money amazing product,5
139,Headphones,heats up stopped working poor quality,4
140,Charger,poor quality,4
141,Charger,average average,1
142,Headphones,not bad,5
143,Lights,too expensive,2
144,Headphones,amazing product works great amazing product,1
145,Headphones,excellent performance good quality,3
146,Headphones,too expensive stopped working heats up,2
147,Lights,love it amazing product love it,4
148,Charger,reasonable,2
149,Desk,excellent performance super fast good quality,4
150,Laptop,excellent performance amazing product works great,1
151,Headphones,good quality excellent performance,1
152,Headphones,value for money excellent performance,2
153,Charger,super fast excellent performance,1
154,Desk,excellent performance,2
155,Laptop,value for money,4
156,Charger,bright and clear value for money works great,5
157,Lights,love it love it,4
158,Lights,value for money love it very useful,1
159,Desk,works fine average reasonable,5
160,Desk,super fast excellent performance amazing product,5
161,Lights,good quality,3
162,Charger,value for money value for money bright and clear,4
163,Charger,love it,2
164,Desk,okay,4
165,Lights,not bad average,5
166,Laptop,excellent performance good quality,4
167,Headphones,good quality works great,4
168,Lights,excellent performance amazing product,1
169,Laptop,stopped working heats up,3
